A84,2016-05-02,2016-05-05,azpn,1618,1831,4.25840000000000,54601.34777777,USD
9B3,2016-05-02,2016-05-05,snv,1618,2649,3.47260000000000,64409.57888888,USD
9F2,2016-05-02,2016-05-05,aimt,1618,28,1.42330000000000,284.66666666,USD
6B0,2016-05-02,2016-05-05,pbh,1618,3667,6.35580000000000,163160.88222222,USD
F6D,2016-05-02,2016-05-05,hls,1618,3571,4.61410000000000,115353.33333333,USD
27A,2016-05-02,2016-05-05,mtn,1618,739,14.50790000000000,75092.66000000,USD
CE5,2016-05-02,2016-05-05,hsni,1618,1194,5.86710000000000,49060.87555555,USD
31E,2016-05-02,2016-05-05,atra,1618,1861,2.02700000000000,26411.52000000,USD
151,2016-05-02,2016-05-05,ipgp,1618,1126,9.61950000000000,75821.24888888,USD
22D,2016-05-02,2016-05-05,fig,1618,2152,0.55790000000000,8404.54000000,USD
473,2016-05-02,2016-05-05,akba,1618,361,1.04580000000000,2646.97555555,USD
472,2016-05-02,2016-05-05,manh,1618,482,6.80840000000000,22998.85000000,USD
E77,2016-05-02,2016-05-05,aldr,1618,2264,2.89560000000000,45907.19444444,USD
902,2016-05-02,2016-05-05,nvax,1618,24177,0.57580000000000,97455.91333333,USD
B6C,2016-05-02,2016-05-05,gtls,1618,2471,2.85580000000000,49411.62888888,USD
BA9,2016-05-02,2016-05-05,mdco,1618,4410,3.92070000000000,121030.98000000,USD
2E1,2016-05-02,2016-05-05,apog,1618,161,4.59660000000000,5203.30111111,USD
86B,2016-05-02,2016-05-05,nbix,1618,5373,5.06280000000000,190425.84222222,USD
301,2016-05-02,2016-05-05,ste,1618,1101,7.87210000000000,60693.80555555,USD
AAE,2016-05-02,2016-05-05,fnsr,1618,5778,1.81070000000000,73244.16333333,USD
370,2016-05-02,2016-05-05,prah,1618,817,5.35870000000000,30656.93222222,USD
16D,2016-05-02,2016-05-05,ftnt,1618,4984,3.62700000000000,126539.93888888,USD
F34,2016-05-02,2016-05-05,dlth,1618,262,2.66960000000000,4906.74555555,USD
01E,2016-05-02,2016-05-05,jbt,1618,3203,5.72110000000000,128301.38888888,USD
ECF,2016-05-02,2016-05-05,abco,1618,343,3.49940000000000,8412.63777777,USD
